Words	IPA	Gender	Nt	F1	F2	F3	t
just	ʤʌst	M	1	340;	1763;	2441;	0.443;
that	ðæt	M	1	555;	1512;	2495;	0.334;
this	ðɪs	M	1	382;	1563;	2549;	0.336;
time	taɪm	M	2	618;431;	1359;1765;	2293;2616;	0.523;0.678;
with	wɪð	M	1	423;	1491;	2432;	0.466;
say	seɪ	M	2	553;455;	1729;1803;	2560;2377;	0.482;0.622;
make	meɪk	M	2	473;373;	1956;1907;	2618;2402;	0.477;0.547;
because	bɪˈkɔz	M	3	307; ;540;	1506; ;1280;	2214; ;2310;	0.357; ;0.649;
into	ˈɪntu	M	3	325; ;319;	1913; ;1128;	2657; ;2189;	0.270; ;0.825;
be	bi	M	1	255;	2028;	2406;	0.640;
some	sʌm	M	1	327;	1121;	1803;	0.688;
by	baɪ	M	2	755;569;	1266;1798;	2087;2422;	0.610;0.860;
now	naʊ	M	2	538;365;	1532;860;	2278;2340;	0.440;0.745;
any	ˈɛni	M	3	422; ;244;	1839; ;1628;	2567; ;2535;	0.344; ;0.487;
it	ɪt	M	1	383;	1967;	2573;	0.306;
or	ɔr	M	1	417;	785;	1608;	0.484;
two	tu	M	1	300;	988;	2143;	0.831;
me	mi	M	1	261;	1973;	2625;	0.428;
to	tu	M	1	312;	991;	2205;	0.804;
our	ˈaʊər	M	3	777;487;536;	1319;823;1086;	2275;2144;1640;	0.413;0.498;0.612;
them	ðɛm	M	1	558;	1665;	2633;	0.521;
other	ˈʌðər	M	3	356; ;417;	1252; ;1368;	2395; ;1798;	0.439; ;0.635;
I	aɪ	M	2	696;369;	1231;1646;	2279;2477;	0.365;0.610;
no	noʊ	M	2	383;383;	853;853;	2394;2394;	0.697;0.697;
many	ˈmɛni	M	3	469; ;271;	1775; ;1795;	2520; ;2482;	0.413; ;0.566;
these	ðiz	M	1	269;	2046;	2673;	0.708;
call	kɔl	M	1	593;	822;	2652;	0.662;
here	hir	M	1	297;	2034;	2827;	0.411;
your	jʊər	M	2	361;523;	669;1129;	1839;1567;	0.530;0.690;
up	ʌp	M	1	597;	1262;	2341;	0.319;
my	maɪ	M	2	641;481;	1518;1599;	2276;2194;	0.637;0.742;
also	ˈɔlsoʊ	M	4	481; ;425;425;	810; ;934;934;	2681; ;2340;2340;	0.439; ;0.860;0.860;
very	ˈvɛri	M	3	461; ;262;	1434; ;2002;	1677; ;2404;	0.666; ;0.921;
year	jɪr	M	1	336;	1559;	1943;	0.627;
new	nu	M	1	281;	1015;	2339;	0.827;
you	ju	M	1	293;	940;	2246;	0.632;
down	daʊn	M	2	510;379;	1319;957;	1949;1737;	0.701;0.806;
want	wɑnt	M	1	534;	954;	1699;	0.480;
life	laɪf	M	2	692;384;	1360;1786;	1965;2364;	0.478;0.593;
man	mən	M	1	415;	1437;	1968;	0.675;
but	bʌt	M	1	490;	1168;	2291;	0.412;
come	kʌm	M	1	291;	1037;	2391;	0.666;
there	ðɛr	M	1	497;	1667;	2507;	0.489;
take	teɪk	M	2	422;368;	1975;1928;	2577;2467;	0.405;0.460;
would	wʊd	M	1	392;	971;	2394;	0.425;
people	ˈpipəl	M	3	261; ;461;	2104; ;836;	2999; ;2398;	0.367; ;0.606;
